,Season,Game_ID,Game_Date,Away_Team,Home_Team,Year,Rivalry,Day_Code,Holiday,First,Last,Home_All_Stars,Away_All_Stars,Home_Market_Size,Away_Market_Size,Home_Championships,Away_Championships,Home_Playoffs,Away_Playoffs,Home_Twitter,Away_Twitter,Home_Win_Pct,Away_Win_Pct,Total_Viewers
0,2016-17,21600001,10/25/2016,NYK,CLE,0,0,1,0,1,0,3.0,1.0,4053.0,19995.0,1.0,2.0,7.0,5.0,1.138,1.393,0.0,0.0,57691
1,2016-17,21600003,10/25/2016,SAS,GSW,0,0,1,0,1,0,4.0,1.0,6750.0,2193.0,4.0,5.0,5.0,16.0,1.688,1.278,0.0,0.0,60428
2,2016-17,21600002,10/25/2016,UTA,POR,0,0,1,0,1,0,0.0,0.0,3010.0,2505.0,1.0,0.0,9.0,8.0,0.576,0.455,0.0,0.0,40740
3,2016-17,21600006,10/26/2016,BKN,BOS,0,0,2,0,1,0,1.0,0.0,6448.0,19995.0,17.0,0.0,12.0,9.0,1.863,0.648,0.0,0.0,23947
4,2016-17,21600008,10/26/2016,CHA,MIL,0,0,2,0,1,0,1.0,1.0,2255.0,3462.0,1.0,0.0,7.0,5.0,0.462,0.516,0.0,0.0,12046
5,2016-17,21600005,10/26/2016,DAL,IND,0,0,2,0,1,0,1.0,0.0,2642.0,7090.0,0.0,1.0,11.0,15.0,0.716,0.879,0.0,0.0,33922
6,2016-17,21600007,10/26/2016,DET,TOR,0,0,2,0,1,0,2.0,0.0,7566.0,4938.0,0.0,3.0,7.0,9.0,1.095,0.518,0.0,0.0,14887
7,2016-17,21600013,10/26/2016,HOU,LAL,0,0,2,0,1,0,0.0,1.0,17054.0,6579.0,16.0,2.0,12.0,9.0,4.81,0.985,0.0,0.0,34087
8,2016-17,21600004,10/26/2016,MIA,ORL,0,0,2,0,1,0,0.0,0.0,3592.0,3842.0,0.0,3.0,9.0,12.0,1.337,3.335,0.0,0.0,22756
9,2016-17,21600009,10/26/2016,MIN,MEM,0,0,2,0,1,0,1.0,0.0,1604.0,4667.0,0.0,0.0,9.0,4.0,0.549,0.458,0.0,0.0,21853
10,2016-17,21600011,10/26/2016,OKC,PHI,0,0,2,0,1,0,0.0,1.0,7468.0,1737.0,3.0,1.0,8.0,8.0,0.618,1.285,0.0,0.0,42455
11,2016-17,21600012,10/26/2016,SAC,PHX,0,0,2,0,1,0,0.0,1.0,4545.0,3400.0,0.0,1.0,7.0,6.0,0.513,0.459,0.0,0.0,14435
12,2016-17,21600015,10/27/2016,BOS,CHI,0,0,3,0,1,0,1.0,1.0,9474.0,6448.0,6.0,17.0,10.0,12.0,2.505,1.863,0.0,1.0,50539
13,2016-17,21600017,10/27/2016,LAC,POR,0,0,3,0,1,0,0.0,1.0,3010.0,17054.0,1.0,0.0,9.0,6.0,0.576,0.93,1.0,0.0,29674
14,2016-17,21600016,10/27/2016,SAS,SAC,0,0,3,0,1,0,1.0,1.0,3400.0,2193.0,1.0,5.0,6.0,16.0,0.459,1.278,1.0,1.0,27634
15,2016-17,21600014,10/27/2016,WAS,ATL,0,0,3,0,1,0,1.0,1.0,6032.0,5982.0,1.0,1.0,9.0,6.0,0.53,0.493,0.0,0.0,27848
16,2016-17,21600022,10/28/2016,CHA,MIA,0,0,4,0,1,0,0.0,1.0,3842.0,3462.0,3.0,0.0,12.0,5.0,3.335,0.516,1.0,1.0,12886
17,2016-17,21600018,10/28/2016,CLE,TOR,0,0,4,0,1,0,2.0,3.0,7566.0,4053.0,0.0,1.0,7.0,7.0,1.095,1.138,1.0,1.0,48951
18,2016-17,21600025,10/28/2016,GSW,NOP,0,0,4,0,1,0,1.0,4.0,1559.0,6750.0,0.0,4.0,6.0,5.0,0.457,1.688,0.0,0.0,46471
19,2016-17,21600019,10/28/2016,IND,BKN,0,0,4,0,1,0,0.0,1.0,19995.0,2642.0,0.0,0.0,9.0,11.0,0.648,0.716,0.0,1.0,23043
20,2016-17,21600024,10/28/2016,LAL,UTA,0,0,4,0,1,0,0.0,0.0,2505.0,17054.0,0.0,16.0,8.0,12.0,0.455,4.81,0.0,1.0,25043
21,2016-17,21600020,10/28/2016,ORL,DET,0,0,4,0,1,0,0.0,0.0,4938.0,3592.0,3.0,0.0,9.0,9.0,0.518,1.337,0.0,0.0,10691
22,2016-17,21600021,10/28/2016,PHX,OKC,0,0,4,0,1,0,1.0,0.0,1737.0,4545.0,1.0,0.0,8.0,7.0,1.285,0.513,1.0,0.0,37236
23,2016-17,21600031,10/29/2016,BKN,MIL,0,0,5,0,1,0,1.0,0.0,2255.0,19995.0,1.0,0.0,7.0,9.0,0.462,0.648,0.0,0.5,21567
24,2016-17,21600030,10/29/2016,IND,CHI,0,0,5,0,1,0,1.0,1.0,9474.0,2642.0,6.0,0.0,10.0,11.0,2.505,0.716,1.0,0.5,22190
25,2016-17,21600028,10/29/2016,MEM,NYK,0,0,5,0,1,0,1.0,1.0,19995.0,1604.0,2.0,0.0,5.0,9.0,1.393,0.549,0.0,1.0,32002
26,2016-17,21600034,10/29/2016,MIN,SAC,0,0,5,0,1,0,1.0,0.0,3400.0,4667.0,1.0,0.0,6.0,4.0,0.459,0.458,0.5,0.0,22179
27,2016-17,21600032,10/29/2016,NOP,SAS,0,0,5,0,1,0,1.0,1.0,2193.0,1559.0,5.0,0.0,16.0,6.0,1.278,0.457,1.0,0.0,23391
28,2016-17,21600029,10/29/2016,ORL,CLE,0,0,5,0,1,0,3.0,0.0,4053.0,3592.0,1.0,0.0,7.0,9.0,1.138,1.337,1.0,0.0,31859
29,2016-17,21600033,10/29/2016,POR,DEN,0,0,5,0,1,0,0.0,0.0,3921.0,3010.0,0.0,1.0,10.0,9.0,0.476,0.576,1.0,0.5,27076
30,2016-17,21600041,10/30/2016,DAL,HOU,0,1,6,0,1,0,1.0,0.0,6579.0,7090.0,2.0,1.0,9.0,15.0,0.985,0.879,0.5,0.0,24543
31,2016-17,21600036,10/30/2016,GSW,PHX,0,0,6,0,1,0,0.0,4.0,4545.0,6750.0,0.0,4.0,7.0,5.0,0.513,1.688,0.0,0.5,50617
32,2016-17,21600040,10/30/2016,LAL,OKC,0,0,6,0,1,0,1.0,0.0,1737.0,17054.0,1.0,16.0,8.0,12.0,1.285,4.81,1.0,0.5,36658
33,2016-17,21600038,10/30/2016,MIL,DET,0,0,6,0,1,0,0.0,1.0,4938.0,2255.0,3.0,1.0,9.0,7.0,0.518,0.462,0.5,0.5,12556
34,2016-17,21600037,10/30/2016,SAS,MIA,0,0,6,0,1,0,0.0,1.0,3842.0,2193.0,3.0,5.0,12.0,16.0,3.335,1.278,0.5,1.0,32314
35,2016-17,21600035,10/30/2016,UTA,LAC,0,0,6,0,1,0,1.0,0.0,17054.0,2505.0,0.0,0.0,6.0,8.0,0.93,0.455,1.0,0.5,28903
36,2016-17,21600039,10/30/2016,WAS,MEM,0,0,6,0,1,0,1.0,1.0,1604.0,5982.0,0.0,1.0,9.0,6.0,0.549,0.493,0.5,0.0,14195
37,2016-17,21600043,10/31/2016,CHI,BKN,0,0,0,0,1,0,0.0,1.0,19995.0,9474.0,0.0,6.0,9.0,10.0,0.648,2.505,0.333333333333,1.0,33346
38,2016-17,21600042,10/31/2016,DEN,TOR,0,0,0,0,1,0,2.0,0.0,7566.0,3921.0,0.0,0.0,7.0,10.0,1.095,0.476,0.5,0.5,24322
39,2016-17,21600045,10/31/2016,PHX,LAC,0,0,0,0,1,0,1.0,0.0,17054.0,4545.0,0.0,0.0,6.0,7.0,0.93,0.513,1.0,0.0,22836
40,2016-17,21600044,10/31/2016,SAC,ATL,0,0,0,0,1,0,1.0,1.0,6032.0,3400.0,1.0,1.0,9.0,6.0,0.53,0.459,1.0,0.666666666667,23520
41,2016-17,21600054,11/1/2016,GSW,POR,0,0,1,0,0,0,0.0,4.0,3010.0,6750.0,1.0,4.0,9.0,5.0,0.576,1.688,0.666666666667,0.666666666667,37632
