Team,Market_Size,Championships,Playoffs,Twitter
MIL,2255,1,7,0.462
GSW,6750,4,5,1.688
MIN,4667,0,4,0.458
TOR,7566,0,7,1.095
ATL,6032,1,9,0.530
BOS,6448,17,12,1.863
DET,4938,3,9,0.518
NYK,19995,2,5,1.393
DEN,3921,0,10,0.476
DAL,7090,1,15,0.879
BKN,19995,0,9,0.648
POR,3010,1,9,0.576
ORL,3592,0,9,1.337
MIA,3842,3,12,3.335
CHI,9474,6,10,2.505
SAS,2193,5,16,1.278
CHA,3462,0,5,0.516
UTA,2505,0,8,0.455
CLE,4053,1,7,1.138
HOU,6579,2,9,0.985
WAS,5982,1,6,0.493
LAL,17054,16,12,4.810
PHI,7468,3,8,0.618
MEM,1604,0,9,0.549
LAC,17054,0,6,0.930
SAC,3400,1,6,0.459
OKC,1737,1,8,1.285
PHX,4545,0,7,0.513
IND,2642,0,11,0.716
NOP,1559,0,6,0.457
